detail_url,evaluate_num,name,price,store,support
//item.jd.com/100015330056.html,100万+,Redmi9A5000mAh1300万AI相机八核处理器人脸解锁4GB+128GB湖光绿游戏智能小米红米,799.00,小米京东自营旗舰店,自营
//item.jd.com/100008741129.html,100万+,Redmi9A5000mAh大电量大屏幕大字体大音量1300万AI相机八核处理器人脸解锁6GB+128GB砂石黑游戏智能小米红米,899.00,小米京东自营旗舰店,自营
//item.jd.com/100007958748.html,100万+,RedmiNote84800万全场景四摄4000mAh长续航高通骁龙66518W快充小金刚品质保证6GB+128GB皓月白游戏智能小米红米,999.00,小米京东自营旗舰店,自营
//item.jd.com/100007958750.html,100万+,RedmiNote84800万全场景四摄4000mAh长续航高通骁龙66518W快充小金刚品质保证6GB+128GB梦幻蓝游戏智能小米红米,999.00,小米京东自营旗舰店,自营
//item.jd.com/100007958736.html,100万+,RedmiNote84800万全场景四摄4000mAh长续航高通骁龙66518W快充小金刚品质保证6GB+128GB曜石黑游戏智能小米红米,999.00,小米京东自营旗舰店,自营
//item.jd.com/100007958758.html,100万+,RedmiNote84800万全场景四摄4000mAh长续航高通骁龙66518W快充小金刚品质保证6GB+64GB梦幻蓝游戏智能小米红米,999.00,小米京东自营旗舰店,自营
//item.jd.com/100009082500.html,100万+,Redmi8A5000mAh大电量大字体大音量大内存骁龙八核处理器AI人脸解锁莱茵护眼全面屏4GB+64GB深海蓝游戏智能老人小米红米,699.00,小米京东自营旗舰店,自营
//item.jd.com/100009082466.html,100万+,Redmi8A5000mAh大电量大字体大音量大内存骁龙八核处理器AI人脸解锁莱茵护眼全面屏4GB+64GB耀夜黑游戏智能老人小米红米,699.00,小米京东自营旗舰店,自营
//item.jd.com/100005138103.html,100万+,Redmi8A5000mAh大电量大字体大音量大内存骁龙八核处理器AI人脸解锁莱茵护眼全面屏4GB+64GB珊瑚橙游戏智能老人小米红米,699.00,小米京东自营旗舰店,自营
//item.jd.com/7694047.html,100万+,荣耀9i4GB+64GB幻夜黑移动联通电信4G全面屏双卡双待,899.00,荣耀京东自营旗舰店,自营
//item.jd.com/100009791484.html,100万+,AppleiPhone11(A2223)128GB白色移动联通电信4G双卡双待【购机补贴版】,4899.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034358.html,100万+,AppleiPhone12(A2404)256GB蓝色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034374.html,100万+,AppleiPhone12(A2404)256GB绿色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034390.html,100万+,AppleiPhone12(A2404)128GB绿色支持移动联通电信5G双卡双待,6799.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100009077475.html,100万+,AppleiPhone12(A2404)128GB白色支持移动联通电信5G双卡双待,6799.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100011203359.html,100万+,AppleiPhone12(A2404)128GB紫色支持移动联通电信5G双卡双待,6799.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034400.html,100万+,AppleiPhone12(A2404)128GB黑色支持移动联通电信5G双卡双待,6799.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034394.html,100万+,AppleiPhone12(A2404)128GB蓝色支持移动联通电信5G双卡双待,6799.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034380.html,100万+,AppleiPhone12(A2404)64GB蓝色支持移动联通电信5G双卡双待,6299.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034356.html,100万+,AppleiPhone12(A2404)256GB红色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034376.html,100万+,AppleiPhone12(A2404)256GB白色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100020961282.html,100万+,AppleiPhone12(A2404)256GB紫色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034356.html,100万+,AppleiPhone12(A2404)256GB红色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034376.html,100万+,AppleiPhone12(A2404)256GB白色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100020961282.html,100万+,AppleiPhone12(A2404)256GB紫色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034378.html,100万+,AppleiPhone12(A2404)128GB红色支持移动联通电信5G双卡双待,6799.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100009077457.html,100万+,AppleiPhone12(A2404)256GB黑色支持移动联通电信5G双卡双待,7599.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034408.html,100万+,AppleiPhone12(A2404)64GB白色支持移动联通电信5G双卡双待,6299.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100009077483.html,100万+,AppleiPhone12(A2404)64GB黑色支持移动联通电信5G双卡双待,6299.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100016034422.html,100万+,AppleiPhone12(A2404)64GB绿色支持移动联通电信5G双卡双待,6299.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100020961240.html,100万+,AppleiPhone12(A2404)64GB紫色支持移动联通电信5G双卡双待,6299.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100009077477.html,100万+,AppleiPhone12(A2404)64GB红色支持移动联通电信5G双卡双待,6299.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100007958788.html,100万+,RedmiNote8Pro6400万全场景四摄液冷游戏芯4500mAh长续航NFC18W快充红外遥控8GB+128GB贝母白游戏智能小米红米,1399.00,小米京东自营旗舰店,自营
//item.jd.com/100007958792.html,100万+,RedmiNote8Pro6400万全场景四摄液冷游戏芯4500mAh长续航NFC18W快充红外遥控6GB+128GB贝母白游戏智能小米红米,1299.00,小米京东自营旗舰店,自营
//item.jd.com/100004575499.html,100万+,RedmiNote8Pro6400万全场景四摄液冷游戏芯4500mAh长续航NFC18W快充红外遥控8GB+128GB电光灰游戏智能小米红米,1399.00,小米京东自营旗舰店,自营
//item.jd.com/100007958790.html,100万+,RedmiNote8Pro6400万全场景四摄液冷游戏芯4500mAh长续航NFC18W快充红外遥控8GB+128GB冰翡翠游戏智能小米红米,1399.00,小米京东自营旗舰店,自营
//item.jd.com/100006115185.html,100万+,RedmiNote8Pro6400万全场景四摄液冷游戏芯4500mAh长续航NFC18W快充红外遥控6GB+128GB暮光橙游戏智能小米红米,1299.00,小米京东自营旗舰店,自营
//item.jd.com/7437714.html,100万+,RedmiNote8Pro6400万全场景四摄液冷游戏芯4500mAh长续航NFC18W快充红外遥控6GB+128GB冰翡翠游戏智能小米红米,1299.00,小米京东自营旗舰店,自营
//item.jd.com/100011030020.html,100万+,RedmiNote8Pro6400万全场景四摄液冷游戏芯4500mAh长续航NFC18W快充红外遥控8GB+128GB暮光橙游戏智能小米红米,1399.00,小米京东自营旗舰店,自营
//item.jd.com/100018315008.html,50万+,AppleiPhone11(A2223)128GB紫色移动联通电信4G双卡双待【充电头套装】,4968.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100009791468.html,50万+,AppleiPhone11(A2223)128GB紫色移动联通电信4G双卡双待【AirPods套装】,5698.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100005492521.html,50万+,AppleiPhone11(A2223)128GB紫色移动联通电信4G双卡双待【购机补贴版】,4899.00,Apple产品京东自营旗舰店,自营
//item.jd.com/100003060627.html,50万+,荣耀20i3200万AI自拍超广角三摄全网通版6GB+64GB渐变蓝移动联通电信4G全面屏,1399.00,荣耀京东自营旗舰店,自营
//item.jd.com/100004934254.html,50万+,荣耀20i3200万AI自拍超广角三摄全网通版6GB+64GB渐变红移动联通电信4G全面屏双卡双待,1399.00,荣耀京东自营旗舰店,自营
//item.jd.com/100001364160.html,50万+,荣耀V20游戏麒麟980芯片魅眼全视屏4800万深感相机6GB+128GB魅海蓝移动联通电信4G全面屏,2199.00,荣耀京东自营旗舰店,自营
//item.jd.com/100011336096.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声12GB+256GB冰海蓝,3299.00,小米京东自营旗舰店,自营
//item.jd.com/100011336110.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声8GB+256GB冰海蓝,2999.00,小米京东自营旗舰店,自营
//item.jd.com/100014418850.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声12GB+256GB国风雅灰,3299.00,小米京东自营旗舰店,自营
//item.jd.com/100006269391.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声8GB+128GB冰海蓝,2799.00,小米京东自营旗舰店,自营
//item.jd.com/100011336094.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声8GB+256GB蜜桃金,2999.00,小米京东自营旗舰店,自营
//item.jd.com/100011336124.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声12GB+256GB蜜桃金,3299.00,小米京东自营旗舰店,自营
//item.jd.com/100011199522.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声8GB+256GB钛银黑,2999.00,小米京东自营旗舰店,自营
//item.jd.com/100014418880.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声8GB+256GB国风雅灰,2999.00,小米京东自营旗舰店,自营
//item.jd.com/100014418816.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声8GB+128GB国风雅灰,2799.00,小米京东自营旗舰店,自营
//item.jd.com/100011336064.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声8GB+128GB钛银黑,2799.00,小米京东自营旗舰店,自营
//item.jd.com/100011336100.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声12GB+256GB钛银黑,3299.00,小米京东自营旗舰店,自营
//item.jd.com/100011336082.html,50万+,小米10双模5G骁龙8651亿像素8K电影相机对称式立体声8GB+128GB蜜桃金,2999.00,小米京东自营旗舰店,自营
//item.jd.com/100004404920.html,50万+,华为HUAWEIP30超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版8GB+128GB亮黑色全网通双4G,3688.00,华为京东自营官方旗舰店,自营
//item.jd.com/7651927.html,50万+,小米红米63GB+32GB铂银灰全网通4G双卡双待老人机智能拍照,699.00,小米京东自营旗舰店,自营
//item.jd.com/6703015.html,50万+,荣耀畅玩7C全面屏全网通标配版3GB+32GB铂光金移动联通电信4G双卡双待,899.00,荣耀京东自营旗舰店,自营
//item.jd.com/100016799352.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率湖光秋色 8GB+256GB游戏智能小米红米,1999.00,小米京东自营旗舰店,自营
//item.jd.com/100009586259.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率碧海星辰 8GB+128GB游戏智能小米红米,1799.00,小米京东自营旗舰店,自营
//item.jd.com/100016799388.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率静默星空 8GB+256GB游戏智能小米红米,1999.00,小米京东自营旗舰店,自营
//item.jd.com/100016799350.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率碧海星辰 8GB+256GB游戏智能小米红米,1999.00,小米京东自营旗舰店,自营
//item.jd.com/100009586279.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率静默星空 8GB+128GB游戏智能小米红米,1799.00,小米京东自营旗舰店,自营
//item.jd.com/100016799386.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率湖光秋色 8GB+128GB游戏智能小米红米,1799.00,小米京东自营旗舰店,自营
//item.jd.com/100016799390.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率湖光秋色 6GB+128GB游戏智能小米红米,1499.00,小米京东自营旗舰店,自营
//item.jd.com/100009586257.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率静默星空 6GB+128GB游戏智能小米红米,1499.00,小米京东自营旗舰店,自营
//item.jd.com/100016773618.html,50万+,RedmiNote9Pro5G一亿像素骁龙750G33W快充120Hz刷新率碧海星辰 6GB+128GB游戏智能小米红米,1499.00,小米京东自营旗舰店,自营
//item.jd.com/100007765934.html,50万+,诺基亚（NOKIA）105新黑色直板按键移动2G双卡双待老人老年学生备用功能机超长待机,149.00,诺基亚手机京东自营旗舰店,自营
